STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement_Flag,Quality_Flag
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 16:00,0.13, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 17:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 18:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 19:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 20:00,0.17, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 21:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 22:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110827 23:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 00:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 01:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 02:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 03:00,0.11, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 04:00,0.1, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 05:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 06:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 07:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 08:00,0.14, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 09:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 10:00,0.33, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 11:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 12:00,0.04, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 15:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 16:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 17:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 18:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110828 19:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110901 01:00,0.0,g, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 03:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 04:00,0.18, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 05:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 06:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 07:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 08:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 09:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 10:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 15:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 16:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 17:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 18:00,0.08, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 19:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 20:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 21:00,0.04, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 22:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110906 23:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 00:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 01:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 02:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 03:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 04:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 05:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110907 06:00,0.04, , 
